Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
10000,130,3+1,2,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
6000,78,2+1,1,4,Kombi Doğalgaz,Var,Boş,Hayır
15000,176,4+1,2,16-20,Kombi Doğalgaz,Yok,Boş,Evet
5250,130,3+1,2,3,Kombi Doğalgaz,Var,Boş,Hayır
3750,110,3+1,1,5-10,Kombi Doğalgaz,Var,Boş,Hayır
6250,85,2+1,1,0 (Yeni),Kombi Doğalgaz,Var,Boş,Hayır
4000,85,2+1,1,4,Kombi Doğalgaz,Var,Boş,Hayır
4000,80,2+1,1,0 (Yeni),Kombi Doğalgaz,Var,Boş,Hayır
3500,85,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
3000,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3500,125,3+1,1,16-20,Kombi Doğalgaz,Yok,Boş,Hayır
3600,80,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
3500,115,3+1,1,4,Kombi Doğalgaz,Yok,Boş,Hayır
6500,52,1.5+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
4000,90,2+1,1,16-20,Kombi Doğalgaz,Var,Eşyalı,Hayır
4000,110,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
4000,150,4+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
2500,70,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
3500,50,1+1,1,4,Kombi Doğalgaz,Var,Boş,Hayır
7500,150,4+2,2,0 (Yeni),Kombi Doğalgaz,Var,Boş,Hayır
4500,110,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
4000,100,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
3200,85,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
3750,110,3+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
3000,75,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
4000,105,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
4100,110,3+1,2,4,Kombi Doğalgaz,Yok,Eşyalı,Hayır
2500,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
2300,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3500,100,3+1,2,5-10,Kombi Doğalgaz,Var,Boş,Hayır
3500,100,3+1,2,5-10,Kombi Doğalgaz,Var,Boş,Hayır
4000,100,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3499,115,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
1250,45,Stüdyo,1,5-10,Klimalı,Yok,Eşyalı,Hayır
1600,55,1+1,1,5-10,Klimalı,Yok,Eşyalı,Hayır
3500,85,2+1,1,5-10,Kombi Doğalgaz,Var,Boş,Hayır
5500,120,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
5000,70,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
6500,90,2+1,1,0 (Yeni),Kombi Doğalgaz,Var,Boş,Hayır
2500,70,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
