Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
8000,60,1+1,1,0 (Yeni),Merkezi Doğalgaz,Var,Boş,Evet
4000,95,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
6000,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
12500,105,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
4000,36,1+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
7000,280,5+2,3,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
38500,245,4+1,2,5-10,Kombi Doğalgaz,Var,Eşyalı,Evet
8000,95,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
21500,220,4+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3500,85,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
6500,105,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
13000,120,2+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
15000,140,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
6400,120,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
5500,45,1+1,1,2,Merkezi (Pay Ölçer),Yok,Eşyalı,Evet
6000,47,1+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
7500,135,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
1600,55,1+1,1,5-10,Klimalı,Yok,Eşyalı,Hayır
1250,45,Stüdyo,1,5-10,Klimalı,Yok,Eşyalı,Hayır
15000,75,2+1,1,5-10,Merkezi Doğalgaz,Var,Eşyalı,Evet
6500,125,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
12000,142,4+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
7500,100,3+1,2,0 (Yeni),Kombi Doğalgaz,Var,Boş,Hayır
11000,130,3+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
6500,150,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
7250,110,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
8000,105,3+1,2,11-15,Kombi Doğalgaz,Var,Boş,Hayır
6250,90,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
10500,160,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
7000,100,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
