Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
30000,220,4+1,2,4,Merkezi (Pay Ölçer),Var,Eşyalı,Evet
25000,120,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Eşyalı,Evet
26000,190,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
8000,58,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
7650,100,2+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
7000,100,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
6000,55,1+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5000,40,1+1,1,2,Kombi Doğalgaz,Yok,Eşyalı,Hayır
9500,100,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
7000,70,1+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
7250,110,3+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
7500,55,1+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
6250,90,2+1,1,16-20,Kombi Doğalgaz,Yok,Boş,Hayır
22000,160,3+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
7000,75,2+1,1,11-15,Yerden Isıtma,Yok,Eşyalı,Hayır
30000,150,3+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
28000,95,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
13900,240,3+2,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
6500,110,3+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
8500,90,3+1,1,21 Ve Üzeri,Merkezi (Pay Ölçer),Var,Boş,Evet
8000,70,1+1,1,1,Kombi Doğalgaz,Yok,Boş,Hayır
7500,55,1+1,1,1,Kombi Doğalgaz,Yok,Boş,Hayır
26000,190,4+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
26000,190,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
26000,210,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
26000,210,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
44000,180,3+1,2,5-10,Merkezi Doğalgaz,Var,Boş,Evet
26000,140,3+1,1,21 Ve Üzeri,Merkezi (Pay Ölçer),Yok,Boş,Hayır
25000,280,5+1,3,21 Ve Üzeri,Merkezi (Pay Ölçer),Yok,Boş,Hayır
22000,160,3+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
