Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
3900,128,3+1,1,16-20,Merkezi Doğalgaz,Yok,Boş,Evet
6000,88,1+1,1,0 (Yeni),Kombi Doğalgaz,Var,Boş,Hayır
16000,100,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Eşyalı,Hayır
2300,90,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
2450,105,2+1,1,4,Kombi Doğalgaz,Yok,Boş,Hayır
2700,55,1+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
3000,90,2+1,1,5-10,Merkezi Doğalgaz,Yok,Boş,Hayır
2500,100,2+1,1,0 (Yeni),Kombi Doğalgaz,Var,Boş,Hayır
3500,90,2+1,1,5-10,Merkezi Doğalgaz,Yok,Boş,Hayır
3750,100,2+1,1,5-10,Kombi Doğalgaz,Var,Boş,Hayır
1500,90,2+1,1,16-20,Doğalgaz Sobalı,Var,Eşyalı,Hayır
3000,75,1+1,1,4,Merkezi (Pay Ölçer),Yok,Boş,Evet
3000,87,2+1,1,5-10,Kombi Doğalgaz,Var,Boş,Hayır
2750,90,2+1,1,11-15,Kombi Doğalgaz,Var,Boş,Hayır
4000,55,1+1,1,5-10,Kat Kaloriferi,Yok,Eşyalı,Evet
2550,80,2+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
2500,75,2+1,1,4,Kombi Doğalgaz,Yok,Boş,Hayır
3000,70,1+1,1,3,Kombi Doğalgaz,Yok,Boş,Evet
2450,115,2+1,1,4,Kombi Doğalgaz,Var,Boş,Hayır
6500,120,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Evet
4000,52,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
2200,85,2+1,1,4,Kombi Doğalgaz,Var,Boş,Hayır
2750,60,1+1,1,5-10,Merkezi Doğalgaz,Yok,Boş,Evet
2800,35,1+1,1,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
2500,70,1+1,1,3,Kombi Doğalgaz,Yok,Boş,Evet
3750,165,3.5+1,2,4,Merkezi (Pay Ölçer),Var,Boş,Evet
3000,90,2+1,1,11-15,Merkezi Doğalgaz,Var,Boş,Evet
1900,95,2+1,1,5-10,Kombi Doğalgaz,Var,Boş,Hayır
6250,125,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
4000,62,1+1,1,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Evet
1250,45,Stüdyo,1,5-10,Klimalı,Yok,Eşyalı,Hayır
1600,55,1+1,1,5-10,Klimalı,Yok,Eşyalı,Hayır
3450,145,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
5000,100,2+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
4900,93,2+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
1600,35,Stüdyo,1,5-10,Klimalı,Yok,Boş,Evet
3750,110,2+1,2,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
3100,90,2+1,1,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
2500,70,1+1,1,3,Kombi Doğalgaz,Yok,Boş,Evet
3400,68,1+1,1,4,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
3250,150,3+1,1,5-10,Kombi Doğalgaz,Var,Boş,Hayır
