Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
32000,250,4+2,5,3,Merkezi (Pay Ölçer),Var,Boş,Hayır
12000,175,4+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
6000,110,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
16000,110,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
15000,70,2+1,1,2,Kombi Doğalgaz,Var,Eşyalı,Hayır
10000,175,4+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
15000,120,3+1,2,0 (Yeni),Yerden Isıtma,Var,Boş,Hayır
4800,95,3+1,2,11-15,Kombi Doğalgaz,Var,Boş,Hayır
18700,190,4+2,3,2,Kombi Doğalgaz,Yok,Boş,Hayır
18700,180,4+2,2,2,Kombi Doğalgaz,Yok,Boş,Hayır
8000,68,2+1,1,4,Kombi Doğalgaz,Yok,Boş,Hayır
6000,102,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
7500,120,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
5500,100,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
12000,250,5+1,3,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
7500,90,3+1,1,21 Ve Üzeri,Merkezi (Pay Ölçer),Yok,Boş,Hayır
14000,120,3+1,2,4,Yerden Isıtma,Yok,Boş,Hayır
30000,350,6+2,3,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5600,105,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
18000,100,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
9500,75,2+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
18500,90,3+1,1,4,Kombi Doğalgaz,Yok,Boş,Hayır
9000,140,4+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
14000,88,2+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
20000,196,4+1,2,21 Ve Üzeri,Yerden Isıtma,Yok,Boş,Hayır
5750,90,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
8750,88,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
11250,200,5+1,4,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
6300,100,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
7500,120,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
6000,90,3+1,1,21 Ve Üzeri,Merkezi (Pay Ölçer),Yok,Boş,Hayır
12500,150,4+1,2,2,Merkezi (Pay Ölçer),Yok,Boş,Hayır
7050,125,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
22000,300,4+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
7000,90,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
6000,110,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
20500,156,4+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
7800,130,3+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
14500,110,3+1,2,4,Merkezi (Pay Ölçer),Var,Boş,Hayır
13500,120,2+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
12000,105,3+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
7500,120,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
6800,110,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
20000,190,6+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
12150,200,5+1,4,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
