Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
4500,57,1+1,1,11-15,Merkezi Doğalgaz,Var,Eşyalı,Evet
5000,116,3+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
3250,67,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
3450,50,1+1,1,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
2500,60,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
2350,85,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
3250,105,2+1,1,16-20,Kombi Doğalgaz,Var,Boş,Hayır
5750,90,2+1,1,4,Kombi Doğalgaz,Yok,Boş,Hayır
5100,110,3+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Evet
6800,119,2+1,2,2,Merkezi (Pay Ölçer),Yok,Boş,Hayır
3250,95,2+1,1,16-20,Kombi Doğalgaz,Var,Boş,Hayır
2100,100,2+1,1,21 Ve Üzeri,Sobalı,Yok,Boş,Hayır
3600,66,1+1,1,11-15,Merkezi (Pay Ölçer),Yok,Boş,Hayır
3500,85,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
3500,70,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
4000,130,3+1,2,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
2750,90,2+1,1,21 Ve Üzeri,Doğalgaz Sobalı,Yok,Boş,Hayır
5000,95,3+1,1,4,Merkezi (Pay Ölçer),Var,Boş,Evet
7500,100,2.5+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5000,85,2+1,2,2,Kombi Doğalgaz,Yok,Boş,Hayır
5250,90,2+1,1,4,Kombi Doğalgaz,Yok,Boş,Hayır
3500,135,3+2,2,3,Kombi Doğalgaz,Yok,Boş,Hayır
3500,120,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
6000,105,3+1,1,5-10,Kombi Doğalgaz,Var,Boş,Evet
3250,67,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
4500,95,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
7500,75,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5000,75,1.5+1,1,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
8000,50,2+1,1,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
1600,55,1+1,1,5-10,Klimalı,Yok,Eşyalı,Hayır
20000,230,4+1,3,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
5000,70,1+1,1,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
4500,58,1+1,1,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
4500,55,1+1,1,4,Yerden Isıtma,Yok,Eşyalı,Hayır
4500,55,1+1,1,5-10,Yerden Isıtma,Yok,Eşyalı,Hayır
23000,200,4+1,2,5-10,Yerden Isıtma,Yok,Eşyalı,Hayır
9500,95,3+1,2,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
3750,100,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
4250,80,2+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
15000,144,4+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
5500,130,3+1,3,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
2750,85,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
3250,120,3+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
2200,70,1+1,1,5-10,Doğalgaz Sobalı,Yok,Boş,Hayır
2700,70,1+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
9500,150,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
3000,100,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
4000,80,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
2750,107,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
6000,130,4+1,2,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
22000,230,4+1,3,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
3250,100,2+1,1,4,Kombi Doğalgaz,Var,Boş,Hayır
3000,70,1+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
3000,95,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
4000,70,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
8000,130,3+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
2950,95,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
2000,120,Stüdyo,0,16-20,Isıtma Yok,Yok,Boş,Hayır
4000,125,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
2000,120,Stüdyo,0,16-20,Isıtma Yok,Yok,Boş,Hayır
3000,70,1+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
4000,125,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
