Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
3300,105,2+1,1,2,Merkezi (Pay Ölçer),Var,Boş,Evet
2400,45,Stüdyo,1,5-10,Merkezi Doğalgaz,Yok,Eşyalı,Evet
4350,65,2+1,1,5-10,Merkezi (Pay Ölçer),Var,Eşyalı,Evet
1750,70,2+1,1,5-10,Kombi Doğalgaz,Var,Boş,Hayır
3750,75,2+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Evet
4000,105,3+1,2,3,Merkezi (Pay Ölçer),Yok,Boş,Hayır
4000,100,3+1,1,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
3100,95,2+1,1,5-10,Kombi Doğalgaz,Var,Boş,Evet
3200,110,3.5+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
1500,75,1+1,1,16-20,Kombi Doğalgaz,Var,Eşyalı,Hayır
2500,105,3+1,2,11-15,Kombi Doğalgaz,Var,Boş,Hayır
2050,110,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
1650,125,3+1,1,21 Ve Üzeri,Doğalgaz Sobalı,Var,Boş,Hayır
3250,100,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
2500,105,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
1500,100,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
2750,80,2+1,1,4,Kombi Doğalgaz,Var,Boş,Hayır
4500,68,1.5+1,1,2,Kombi Doğalgaz,Var,Eşyalı,Evet
4000,100,3+1,1,5-10,Kombi Doğalgaz,Var,Boş,Evet
3000,75,2+1,1,11-15,Kombi Doğalgaz,Var,Boş,Hayır
3500,110,3+1,1,16-20,Kombi Doğalgaz,Yok,Boş,Hayır
2750,90,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
5750,100,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
3600,105,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
3750,90,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
3000,85,2+1,1,3,Merkezi (Pay Ölçer),Yok,Boş,Hayır
1400,45,1+1,1,21 Ve Üzeri,Doğalgaz Sobalı,Yok,Boş,Hayır
