Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
8000,110,3+1,1,11-15,Kombi Doğalgaz,Var,Eşyalı,Hayır
3500,90,2+1,1,11-15,Kombi Doğalgaz,Var,Boş,Hayır
10000,110,2+1,1,2,Kombi Doğalgaz,Yok,Boş,Hayır
4200,120,2+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
16500,250,4+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
6500,100,2+1,2,4,Kombi Doğalgaz,Yok,Eşyalı,Hayır
7000,125,3+1,1,16-20,Merkezi (Pay Ölçer),Var,Boş,Evet
4500,120,3+1,1,16-20,Kombi Doğalgaz,Yok,Boş,Hayır
5500,120,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
25000,92,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
42000,165,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
7000,100,2+1,2,4,Kombi Doğalgaz,Yok,Eşyalı,Hayır
7250,80,1+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
28000,200,4+1,3,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
30000,140,1+1,2,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
5000,120,2+1,1,16-20,Isıtma Yok,Yok,Boş,Hayır
6000,155,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
2000,79,1+1,1,16-20,Isıtma Yok,Yok,Eşyalı,Hayır
3100,90,2+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
20000,127,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
14750,110,2+1,1,4,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3000,100,2+1,1,11-15,Kombi Doğalgaz,Var,Boş,Hayır
5000,120,2+1,0,16-20,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4500,140,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
10000,140,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
28000,200,4+1,3,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
8000,46,Stüdyo,1,1,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
3500,110,2+1,1,16-20,Kombi Doğalgaz,Var,Boş,Hayır
13500,110,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Evet
