Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
3750,75,1+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5500,58,2+1,1,11-15,Kombi Doğalgaz,Var,Eşyalı,Hayır
7200,100,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
8000,110,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
4000,85,2+1,1,16-20,Kombi Doğalgaz,Var,Boş,Evet
5000,68,2+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5500,145,3+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
4600,65,2+1,1,4,Kombi Doğalgaz,Yok,Eşyalı,Hayır
7500,90,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
6750,90,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
5000,60,2+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
25000,140,2+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
15500,180,3+2,3,2,Yerden Isıtma,Yok,Boş,Hayır
5000,70,2+1,1,4,Kombi Doğalgaz,Yok,Eşyalı,Hayır
6500,70,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
15500,180,3+2,3,2,Yerden Isıtma,Yok,Boş,Hayır
1250,95,3+1,1,16-20,Kombi Doğalgaz,Var,Boş,Hayır
3000,45,2+0,1,4,Kombi Doğalgaz,Var,Eşyalı,Hayır
4100,80,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
4500,120,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
7500,125,3+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
6500,80,2+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
15000,90,2+1,1,21 Ve Üzeri,Klimalı,Yok,Eşyalı,Hayır
8500,45,Stüdyo,1,11-15,Klimalı,Yok,Eşyalı,Hayır
3500,50,1+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
4500,39,1+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5100,53,1+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3500,70,2+1,1,5-10,Kombi Doğalgaz,Var,Eşyalı,Hayır
4100,35,1+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4500,70,2+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4500,47,2+1,1,16-20,Kombi Doğalgaz,Var,Boş,Hayır
11000,125,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
5500,60,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Eşyalı,Hayır
7000,130,3+1,1,21 Ve Üzeri,Merkezi (Pay Ölçer),Yok,Boş,Hayır
7500,60,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
4500,55,1+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4500,45,2+1,1,2,Kombi Doğalgaz,Yok,Eşyalı,Hayır
13500,100,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
1250,95,2+1,1,16-20,Kombi Doğalgaz,Yok,Boş,Hayır
1500,70,1+1,1,11-15,Sobalı,Yok,Boş,Hayır
3500,75,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
2000,45,1+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
5000,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
13500,100,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4000,100,2+1,1,21 Ve Üzeri,Klimalı,Yok,Eşyalı,Hayır
5500,65,1+1,1,4,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4500,75,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
14000,180,4+1,1,21 Ve Üzeri,Merkezi (Pay Ölçer),Var,Boş,Hayır
14000,180,4+1,1,21 Ve Üzeri,Merkezi (Pay Ölçer),Var,Boş,Hayır
5000,55,2+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
9000,90,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
20000,65,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
38250,160,3+1,2,5-10,Kat Kaloriferi,Yok,Eşyalı,Hayır
7250,100,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
5900,70,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Eşyalı,Hayır
9500,140,3+1,1,11-15,Kombi Doğalgaz,Var,Eşyalı,Hayır
4500,50,1+1,1,4,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5500,90,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
6500,85,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
6500,100,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
7000,145,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
15000,130,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
5000,60,1+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
10000,130,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5000,40,1+1,1,2,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5000,55,1+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
9500,150,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
6000,165,3+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4500,60,2+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5500,65,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Eşyalı,Hayır
5000,70,2+1,1,3,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4750,60,1+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3000,70,2+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
13000,85,1+1,1,4,Kombi Doğalgaz,Yok,Eşyalı,Hayır
13000,85,2+1,1,4,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3500,60,1+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
10000,130,3+1,1,11-15,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
4750,68,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Eşyalı,Hayır
7600,80,2+1,2,11-15,Kombi Doğalgaz,Var,Eşyalı,Hayır
4300,45,1+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5500,75,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
14000,140,4+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
5500,50,1+1,1,1,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5000,70,2+1,1,1,Kombi Doğalgaz,Yok,Boş,Hayır
5000,65,2+1,1,4,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3750,70,2+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3750,60,1+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
7500,150,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Eşyalı,Hayır
4750,60,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Eşyalı,Hayır
20000,130,3+1,2,11-15,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
5500,70,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Eşyalı,Hayır
5000,75,2+1,1,1,Kombi Doğalgaz,Yok,Boş,Hayır
5000,50,1+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
10000,110,1+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3750,35,1+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5500,93,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
7500,45,1+1,1,3,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5000,70,2+1,1,3,Kombi Doğalgaz,Yok,Boş,Hayır
9100,100,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
8000,110,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
22000,275,5+2,3,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
7500,165,4+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
8500,110,2+1,1,4,Merkezi Doğalgaz,Var,Eşyalı,Hayır
25000,110,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5500,60,2+1,1,3,Kombi Doğalgaz,Yok,Boş,Hayır
5500,60,2+1,1,3,Kombi Doğalgaz,Yok,Eşyalı,Hayır
21000,120,2+1,2,3,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5500,120,3+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5000,75,2+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4000,57,1+1,1,1,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3250,40,1+1,1,4,Kombi Doğalgaz,Yok,Eşyalı,Hayır
11000,130,4+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
6000,120,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3500,50,1+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3000,60,2+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4000,60,1+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4000,70,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
10000,120,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
3500,60,1+1,1,3,Kombi Doğalgaz,Yok,Eşyalı,Hayır
21000,450,8+ Oda,0,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
4500,60,1+1,1,3,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5750,130,3+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
21000,150,3+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
4500,70,3+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
4500,60,3+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
4500,65,3+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
8950,70,2+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3100,65,2+1,1,4,Kombi Doğalgaz,Yok,Eşyalı,Hayır
1500,70,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
4500,150,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
30000,140,2+1,2,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
32000,155,3+1,2,5-10,Merkezi Doğalgaz,Var,Eşyalı,Hayır
5500,90,2+1,1,11-15,Kombi Doğalgaz,Var,Eşyalı,Hayır
30000,400,4+2,2,21 Ve Üzeri,Klimalı,Yok,Boş,Hayır
24000,250,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3200,70,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
4500,110,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
6500,140,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
4800,80,2+1,1,2,Kombi Doğalgaz,Yok,Boş,Hayır
4900,80,2+1,1,2,Kombi Doğalgaz,Yok,Boş,Hayır
5100,80,2+1,1,2,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5000,80,2+1,1,2,Kombi Doğalgaz,Yok,Eşyalı,Hayır
18000,115,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
