Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
4500,90,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
4000,88,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
5500,90,2+1,1,5-10,Kombi Doğalgaz,Var,Boş,Hayır
13000,230,4+2,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
3600,75,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
2950,100,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3800,60,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
5500,85,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
7000,100,3+1,1,0 (Yeni),Kombi Doğalgaz,Var,Boş,Hayır
6000,125,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
4250,85,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
35000,280,5+1,5,11-15,Merkezi (Pay Ölçer),Yok,Boş,Hayır
5000,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4250,110,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
4000,80,2+1,1,4,Kombi Doğalgaz,Yok,Boş,Hayır
14000,222,4.5+1,3,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
5000,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
3250,85,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
4200,130,3+1,2,16-20,Kombi Doğalgaz,Yok,Boş,Hayır
4500,130,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
2650,65,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
4300,125,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
